customer_id,first_name,last_name,username,email,phone,gender,date_of_birth,street_name,city,zip_code,country,account_created_date,premium_subscription
01HQZS37ACM0ZH3Z1GGPPD9DBR,Orrin,Cristofor,ocristofor0,ocristofor0@pen.io,445-582-2848,Male,07/06/96,74 Fairview Street,Dean,OX7,United Kingdom,23/01/24,FALSE
01HQZS37BE79TYQEE9CG613YRY,Doroteya,Luckman,dluckman1,dluckman1@diigo.com,272-740-2125,Male,17/11/92,57369 Shasta Plaza,Carlton,DL8,United Kingdom,19/07/23,TRUE
01HQZS37BJGK8DE0HF5BHF4YK9,Rozamond,Miell,rmiell2,rmiell2@nature.com,117-146-5798,Female,31/03/95,785 Arrowood Point,Ashley,SN13,United Kingdom,07/08/23,FALSE
01HQZS37BP2NTXNA3KANVR2YE7,Clerissa,Alvey,calvey3,calvey3@nymag.com,427-133-7034,Female,11/11/96,946 Fair Oaks Trail,Upton,WF9,United Kingdom,19/01/24,FALSE
01HQZS37BSYQ0REQSG45C66ZN4,Aguie,Lissemore,alissemore4,alissemore4@behance.net,603-322-3351,Male,03/02/94,6065 Schiller Hill,Newbiggin,NE46,United Kingdom,06/08/23,FALSE
01HQZS37BWWNYH4DASGE3VMBXG,Robin,MacFayden,rmacfayden5,rmacfayden5@army.mil,383-808-7084,Male,30/11/94,23 Lyons Pass,Sutton,CT15,United Kingdom,17/03/23,FALSE
01HQZS37C0Z70SGKVF8AQ7KZA3,Michael,Duckham,mduckham6,mduckham6@scientificamerican.com,773-908-8695,Male,02/09/91,5 Morrow Road,Sheffield,S33,United Kingdom,27/06/23,FALSE
01HQZS37C3WC1365RHMBYAKHQG,Kerstin,Fosken,kfosken7,kfosken7@bandcamp.com,503-296-4858,Other,19/02/91,11580 Truax Point,Dean,OX7,United Kingdom,10/03/24,FALSE
01HQZS37C7VDQGJEEE6FMT8R7T,Harvey,Paterson,hpaterson8,hpaterson8@ow.ly,702-241-8629,Other,29/05/98,62646 Cherokee Pass,Denton,M34,United Kingdom,05/01/24,TRUE
01HQZS37CA6F95B01R92R3E9Z3,Demetra,Dutton,ddutton9,ddutton9@google.de,148-925-8294,Female,10/02/93,8 Corry Place,Carlton,DL8,United Kingdom,31/05/23,TRUE
01HQZS37CD7T6H99SNPRPV697G,Donn,Hauck,dhaucka,dhaucka@marriott.com,106-335-6263,Male,09/08/90,21957 Morning Crossing,West End,DN36,United Kingdom,01/08/23,FALSE
